#--------------------------------------------------------------------------------,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      29.8,0, ,
         2,        5.,0, ,      29.7,0, ,
         3,       10.,0, ,      29.6,0, ,
         4,       15.,0, ,      29.4,0, ,
         5,       20.,0, ,      29.3,0, ,
         6,       25.,0, ,      29.2,0, ,
         7,       30.,0, ,      29.5,0, ,
         8,       35.,0, ,      28.8,0, ,
         9,       40.,0, ,      27.9,0, ,
        10,       45.,0, ,      26.7,0, ,
        11,       50.,0, ,      25.6,0, ,
        12,       55.,0, ,   ---*---,0, ,
        13,       60.,0, ,   ---*---,0, ,
        14,       65.,0, ,   ---*---,0, ,
        15,       70.,0, ,   ---*---,0, ,
        16,       75.,0, ,   ---*---,0, ,
        17,       80.,0, ,   ---*---,0, ,
        18,       85.,0, ,   ---*---,0, ,
        19,       90.,0, ,   ---*---,0, ,
        20,       95.,0, ,   ---*---,0, ,
        21,      100.,0, ,   ---*---,0, ,
        22,      125.,0, ,   ---*---,0, ,
        23,      150.,0, ,   ---*---,0, ,
        24,      175.,0, ,      17.5,0, ,
        25,      200.,0, ,   ---*---,0, ,
        26,      225.,0, ,      16.1,0, ,
        27,      250.,0, ,      15.7,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        7907416,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SU-126502      ,,,
Originators Station ID      ,,           5200,,,integer,
Originators Cruise ID       ,,16             ,,,
Latitude                    ,,         11.967,decimal degrees,,
Longitude                   ,,         58.833,decimal degrees,,
Year                        ,,           1980,,,
Month                       ,,              9,,,
Day                         ,,             24,,,
Time                        ,,           9.50,decimal hours (UT),,
METADATA,
Country                     ,,             SU,NODC code,SOVIET UNION
Accession Number            ,,       228.0000,NODC code,,
Platform                    ,,          6472.,OCL code,NAUKA,
Bottom depth                ,,          4400.,meters,,
Wave Height                 ,,             0.,WMO code 1555,,
Wind speed                  ,,             0.,knots,,
Barometric pressure         ,,         1014.9,millibars,,
Air temperature (dry bulb)  ,,          26.80,degrees Celsius,,
Air temperature (wet bulb)  ,,          24.00,degrees Celsius,,
Cloud cover                 ,,             5.,WMO code 2700,5 OKTAS     6/10,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Database origin             ,,             3.,WOD code,GODAR Project,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     26.40,0, ,
         2,        5.,0, ,     25.42,0, ,
         3,       10.,0, ,     24.80,0, ,
         4,       15.,0, ,     24.70,0, ,
         5,       20.,0, ,     24.60,0, ,
         6,       25.,0, ,     24.48,0, ,
         7,       30.,0, ,     24.30,0, ,
         8,       35.,0, ,     23.92,0, ,
         9,       40.,0, ,     23.50,0, ,
        10,       45.,0, ,     23.46,0, ,
        11,       50.,0, ,     23.40,0, ,
        12,       55.,0, ,     23.31,0, ,
        13,       60.,0, ,     23.20,0, ,
        14,       65.,0, ,     23.20,0, ,
        15,       70.,0, ,     23.20,0, ,
        16,       75.,0, ,     23.12,0, ,
        17,       80.,0, ,     23.00,0, ,
        18,       85.,0, ,     22.86,0, ,
        19,       90.,0, ,     22.60,0, ,
        20,       95.,0, ,     22.10,0, ,
        21,      100.,0, ,     21.50,0, ,
        22,      125.,0, ,     20.49,0, ,
        23,      150.,0, ,     18.30,0, ,
        24,      175.,0, ,     16.51,0, ,
        25,      200.,0, ,     16.00,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        7918125,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SU-126574      ,,,
Originators Station ID      ,,          12600,,,integer,
Originators Cruise ID       ,,12             ,,,
Latitude                    ,,         12.767,decimal degrees,,
Longitude                   ,,         54.083,decimal degrees,,
Year                        ,,           1981,,,
Month                       ,,              1,,,
Day                         ,,              1,,,
Time                        ,,          17.83,decimal hours (UT),,
METADATA,
Country                     ,,             SU,NODC code,SOVIET UNION
Accession Number            ,,           230.,NODC code,,
Platform                    ,,          7558.,OCL code,SHEDAR (F/V; call sign UZXY; built 1965; IMO6600321),
Bottom depth                ,,           220.,meters,,
Wave Height                 ,,            10.,WMO code 1555,5 METER,
Wind Direction              ,,             4.,WMO code 0877,35 DEGREES - 44 DEGREES,
Wind speed                  ,,             5.,knots,,
Barometric pressure         ,,         1012.4,millibars,,
Air temperature (dry bulb)  ,,          25.00,degrees Celsius,,
Air temperature (wet bulb)  ,,          22.90,degrees Celsius,,
Cloud cover                 ,,             4.,WMO code 2700,4 OKTAS     5/10,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     25.80,0, ,
         2,        5.,0, ,     25.80,0, ,
         3,       10.,0, ,     25.80,0, ,
         4,       15.,0, ,     25.80,0, ,
         5,       20.,0, ,     25.80,0, ,
         6,       25.,0, ,     25.75,0, ,
         7,       30.,0, ,     25.70,0, ,
         8,       35.,0, ,     25.65,0, ,
         9,       40.,0, ,     25.60,0, ,
        10,       45.,0, ,     25.51,0, ,
        11,       50.,0, ,     25.30,0, ,
        12,       55.,0, ,     24.70,0, ,
        13,       60.,0, ,     23.80,0, ,
        14,       65.,0, ,     23.32,0, ,
        15,       70.,0, ,     23.20,0, ,
        16,       75.,0, ,     23.20,0, ,
        17,       80.,0, ,     23.20,0, ,
        18,       85.,0, ,     22.66,0, ,
        19,       90.,0, ,     22.20,0, ,
        20,       95.,0, ,     22.02,0, ,
        21,      100.,0, ,     21.80,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        7918124,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,SU-126574      ,,,
Originators Station ID      ,,          12500,,,integer,
Originators Cruise ID       ,,12             ,,,
Latitude                    ,,         12.750,decimal degrees,,
Longitude                   ,,           54.0,decimal degrees,,
